NIM,Angkatan,Nilai Huruf
1207050003.0,20201,A
1207050004.0,20201,A
1207050005.0,20201,A
1207050006.0,20201,A
1207050007.0,20201,A
1207050008.0,20201,A
1207050009.0,20201,A
1207050011.0,20201,A
1207050016.0,20201,A
1207050017.0,20201,A
1207050018.0,20201,A
1207050019.0,20201,A
1207050021.0,20201,A
1207050022.0,20201,A
1207050024.0,20201,A
1207050025.0,20201,A
1207050026.0,20201,A
1207050027.0,20201,A
1207050028.0,20201,A
1207050029.0,20201,A
1207050031.0,20201,A
1207050032.0,20201,A
1207050033.0,20201,A
1207050034.0,20201,A
1207050035.0,20201,A
1207050036.0,20201,A
1207050037.0,20201,A
1207050039.0,20201,A
1207050040.0,20201,A
1207050041.0,20201,A
1207050042.0,20201,A
1207050044.0,20201,A
1207050045.0,20201,A
1207050046.0,20201,A
1207050047.0,20201,A
1207050049.0,20201,A
1207050050.0,20201,A
1207050051.0,20201,A
1207050053.0,20201,A
1207050054.0,20201,A
1207050055.0,20201,A
1207050058.0,20201,A
1207050059.0,20201,A
1207050060.0,20201,A
1207050063.0,20201,A
1207050064.0,20201,A
1207050067.0,20201,A
1207050068.0,20201,A
1207050069.0,20201,A
1207050072.0,20201,A
1207050073.0,20201,A
1207050074.0,20201,A
1207050076.0,20201,A
1207050078.0,20201,A
1207050080.0,20201,A
1207050081.0,20201,A
1207050082.0,20201,A
1207050085.0,20201,A
1207050087.0,20201,A
1207050088.0,20201,A
1207050089.0,20201,A
1207050090.0,20201,A
1207050092.0,20201,A
1207050093.0,20201,A
1207050095.0,20201,A
1207050099.0,20201,A
1207050100.0,20201,A
1207050101.0,20201,A
1207050105.0,20201,A
1207050107.0,20201,A
1207050108.0,20201,A
1207050109.0,20201,A
1207050110.0,20201,A
1207050112.0,20201,A
1207050113.0,20201,A
1207050114.0,20201,A
1207050116.0,20201,A
1207050118.0,20201,A
1207050119.0,20201,A
1207050121.0,20201,A
1207050122.0,20201,A
1207050125.0,20201,A
1207050126.0,20201,A
1207050127.0,20201,A
1207050128.0,20201,A
1207050129.0,20201,A
1207050130.0,20201,A
1207050131.0,20201,A
1207050132.0,20201,A
1207050133.0,20201,A
1207050134.0,20201,A
1207050135.0,20201,A
1207050136.0,20201,A
1207050140.0,20201,A
1207050141.0,20201,A
1207050144.0,20201,A
1207050145.0,20201,A
1207050147.0,20201,A
1207050148.0,20201,A
